year,award,caucasianAmerican,movie,image
2012,Actress in a Supporting Role,Anne Hathaway,Les Misérables,https://kaway169.github.io/ci19/studio/collection/images/annehathaway.jpg
2012,Actress in a Supporting Role,Amy Adams,The Master,https://kaway169.github.io/ci19/studio/collection/images/amyadams.gif
2012,Actress in a Supporting Role,Sally Field,Lincoln,https://kaway169.github.io/ci19/studio/collection/images/sallyfield.jpg
2012,Actress in a Supporting Role,Helen Hunt,The Sessions,https://kaway169.github.io/ci19/studio/collection/images/helenhunt.jpg
2013,Actress in a Supporting Role,Jennifer Lawrence,American Hustle,https://kaway169.github.io/ci19/studio/collection/images/jenniferlawrence.gif
2013,Actress in a Supporting Role,Julia Roberts,August: Osage County,https://kaway169.github.io/ci19/studio/collection/images/juliaroberts.jpg
2013,Actress in a Supporting Role,June Squibb,Nebraska,https://kaway169.github.io/ci19/studio/collection/images/junesquibb.jpg
2014,Actress in a Supporting Role,Patricia Arquette,Boyhood,https://kaway169.github.io/ci19/studio/collection/images/patriciaarquette.jpg
2014,Actress in a Supporting Role,Laura Dern,Wild,https://kaway169.github.io/ci19/studio/collection/images/lauradern.jpg
2014,Actress in a Supporting Role,Emma Stone,Birdman,https://kaway169.github.io/ci19/studio/collection/images/emmastone.gif
2014,Actress in a Supporting Role,Meryl Streep,Into the Woods,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2015,Actress in a Supporting Role,Jennifer Jason Leigh,The Hateful Eight,https://kaway169.github.io/ci19/studio/collection/images/jenniferjasonleigh.gif
2015,Actress in a Supporting Role,Rooney Mara,Carol,https://kaway169.github.io/ci19/studio/collection/images/rooneymara.jpg
2016,Actress in a Supporting Role,Michelle Williams,Manchester by the Sea,https://kaway169.github.io/ci19/studio/collection/images/michellewilliams.gif
2017,Actress in a Supporting Role,Allison Janney,I Tonya,https://kaway169.github.io/ci19/studio/collection/images/allisonjanney.gif
2017,Actress in a Supporting Role,Laurie Metcalf,Lady Bird,https://kaway169.github.io/ci19/studio/collection/images/lauriemetcalf.gif
2018,Actress in a Supporting Role,Amy Adams,Vice,https://kaway169.github.io/ci19/studio/collection/images/amyadams.gif
2018,Actress in a Supporting Role,Emma Stone,The Favourite,https://kaway169.github.io/ci19/studio/collection/images/emmastone.gif
